[VERILATOR] Starting AeroCore-V SoC Simulation...
cyc=140 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=141 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=142 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=143 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=144 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=145 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=146 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=147 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=148 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=149 pc=00000060 instr=00000063 dreq=0 dwe=0 dvalid=0 stall=0
cyc=5000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=10000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=15000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=20000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=25000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=30000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=35000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=40000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=45000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=50000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=55000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=60000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=65000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=70000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=75000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=80000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=85000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=90000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=95000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=100000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=105000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=110000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=115000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=120000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=125000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=130000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=135000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=140000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=145000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=150000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=155000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=160000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=165000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=170000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=175000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=180000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=185000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=190000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=195000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
cyc=200000 pc=0x60 dreq=0 dwe=0 mempending=0 wben=0 memvalid=0
[BENCH] total_cycles=200000 total_requests=1 stall_cycles=21 stall_pct=0.0105%

[VERIFICATION] RESULT: TIMEOUT (Max cycles reached)
